rank,prev_rank,name,league,off,def,spi
502,504,Vendsyssel,Danish SAS-Ligaen,0.87,1.71,26.77
503,505,Tromso,Norwegian Tippeligaen,1.04,1.96,26.72
504,506,US Pescara,Italy Serie B,0.88,1.74,26.54
505,508,Sacramento Republic FC,United Soccer League,0.75,1.55,26.45
506,512,V-Varen Nagasaki,Japanese J League,0.92,1.82,26.29
507,513,Cremonese,Italy Serie B,0.73,1.54,26.15
508,507,Wellington Phoenix,Australian A-League,0.97,1.91,26.11
509,509,Lugo,Spanish Segunda Division,0.61,1.36,26.02
510,514,Milton Keynes Dons,English League Two,0.93,1.85,25.94
511,501,Levadiakos,Greek Super League,0.72,1.55,25.85
512,510,Fleetwood Town,English League One,0.88,1.78,25.82
513,515,AC Ajaccio,French Ligue 2,0.77,1.62,25.78
514,511,Grenoble,French Ligue 2,0.72,1.55,25.75
515,540,Bury,English League Two,1.01,2.0,25.63
516,516,IFK Goteborg,Swedish Allsvenskan,1.0,1.98,25.62
517,517,Swope Park Rangers,United Soccer League,1.07,2.09,25.62
518,518,MSV Duisburg,German 2. Bundesliga,0.92,1.86,25.6
519,519,Nashville SC,United Soccer League,0.74,1.59,25.48
520,520,Ranheim,Norwegian Tippeligaen,0.97,1.96,25.3
521,494,Apollon Smyrni,Greek Super League,0.67,1.51,25.26
522,521,F.B.C Unione Venezia,Italy Serie B,0.7,1.56,25.2
523,522,SpVgg Greuther Fürth,German 2. Bundesliga,0.86,1.8,25.13
524,524,Sandefjord,Norwegian Tippeligaen,1.0,2.03,25.03
525,525,IF Elfsborg,Swedish Allsvenskan,0.82,1.75,24.95
526,534,Salernitana,Italy Serie B,0.77,1.68,24.93
527,526,Charleston Battery,United Soccer League,0.69,1.56,24.9
528,529,Elche,Spanish Segunda Division,0.75,1.65,24.83
529,527,Golden Arrows,South African ABSA Premier League,0.69,1.56,24.75
530,530,Cordoba,Spanish Segunda Division,0.89,1.92,24.01
531,523,Burton Albion,English League One,0.8,1.79,23.98
532,533,Colorado Rapids,Major League Soccer,0.82,1.82,23.92
533,535,Kalmar FF,Swedish Allsvenskan,0.61,1.5,23.73
534,537,Vejle,Danish SAS-Ligaen,0.76,1.74,23.64
535,538,Indy Eleven,United Soccer League,0.84,1.87,23.62
536,539,IK Sirius,Swedish Allsvenskan,1.02,2.15,23.61
537,541,Portland Timbers 2,United Soccer League,0.92,2.0,23.54
538,536,AmaZulu,South African ABSA Premier League,0.74,1.73,23.25
539,561,Gillingham,English League One,0.92,2.02,23.21
540,542,Ascoli,Italy Serie B,0.67,1.63,23.19
541,543,De Graafschap,Dutch Eredivisie,0.95,2.08,23.16
542,528,Southend United,English League One,0.74,1.74,23.16
543,547,Rayo Majadahonda,Spanish Segunda Division,0.64,1.59,23.02
544,544,Hobro IK,Danish SAS-Ligaen,0.71,1.72,22.91
545,546,Cosenza,Italy Serie B,0.67,1.66,22.79
546,562,Blackpool,English League One,0.59,1.52,22.67
547,545,Highlands Park FC,South African ABSA Premier League,0.71,1.73,22.54
548,550,Oklahoma City Energy FC,United Soccer League,0.73,1.79,22.26
549,563,Valenciennes,French Ligue 2,0.93,2.11,22.21
550,531,SuperSport United,South African ABSA Premier League,0.49,1.4,22.08
551,551,Reus Deportiu,Spanish Segunda Division,0.58,1.56,21.99
552,553,LA Galaxy II,United Soccer League,1.21,2.56,21.96
553,555,Real Monarchs SLC,United Soccer League,0.88,2.06,21.93
554,567,Wycombe Wanderers,English League One,0.87,2.05,21.73
555,558,Fresno FC,United Soccer League,0.66,1.72,21.64
556,559,Livorno,Italy Serie B,0.68,1.75,21.6
557,560,Motherwell,Scottish Premiership,0.69,1.77,21.57
558,557,Chateauroux,French Ligue 2,0.55,1.55,21.36
559,556,Coventry City,English League One,0.64,1.72,21.22
560,532,Carlisle United,English League Two,0.87,2.1,21.09
561,564,Bristol Rovers,English League One,0.55,1.59,20.8
562,565,Bloem Celtic,South African ABSA Premier League,0.54,1.59,20.52
563,548,Bradford City,English League One,0.75,1.96,20.48
564,566,San Antonio FC,United Soccer League,0.79,2.02,20.41
565,552,Orléans,French Ligue 2,0.79,2.02,20.39
566,568,Saint Louis FC,United Soccer League,0.61,1.76,19.98
567,574,Oxford United,English League One,0.77,2.02,19.88
568,569,Tampa Bay Rowdies,United Soccer League,0.64,1.81,19.84
569,549,Shrewsbury Town,English League One,0.62,1.78,19.79
570,570,Lincoln City,English League Two,0.76,2.04,19.56
571,554,Mansfield Town,English League Two,0.54,1.66,19.55
572,583,Plymouth Argyle,English League One,0.89,2.25,19.46
573,575,Scunthorpe,English League One,0.8,2.12,19.45
574,581,Central Coast Mariners,Australian A-League,0.87,2.23,19.37
575,572,IK Start,Norwegian Tippeligaen,0.74,2.04,19.26
576,571,Oldham Athletic,English League Two,0.74,2.09,18.5
577,576,Dalkurd FF,Swedish Allsvenskan,0.65,1.96,18.19
578,577,AS Nancy Lorraine,French Ligue 2,0.51,1.71,18.14
579,579,Padova,Italy Serie B,0.62,1.93,17.74
580,595,Black Leopards,South African ABSA Premier League,0.59,1.88,17.68
581,589,Baroka FC,South African ABSA Premier League,0.45,1.64,17.65
582,582,Charlotte Independence,United Soccer League,0.76,2.2,17.53
583,578,Sochaux,French Ligue 2,0.52,1.78,17.49
584,584,Carpi,Italy Serie B,0.57,1.87,17.39
585,580,Gimnástic Tarragona,Spanish Segunda Division,0.51,1.76,17.34
586,590,Red Star FC 93,French Ligue 2,0.58,1.9,17.29
587,586,Las Vegas Lights FC,United Soccer League,0.95,2.59,16.87
588,587,Chippa United,South African ABSA Premier League,0.42,1.64,16.83
589,585,Forest Green Rovers,English League Two,0.56,1.91,16.75
590,591,Rio Grande Valley FC Toros,United Soccer League,0.51,1.86,16.29
591,603,Northampton Town,English League Two,0.63,2.09,16.1
592,600,GFC Ajaccio,French Ligue 2,0.54,1.94,16.09
593,573,Free State Stars,South African ABSA Premier League,0.52,1.88,16.07
594,592,Maritzburg Utd,South African ABSA Premier League,0.31,1.47,15.87
595,593,Beziers AS,French Ligue 2,0.44,1.76,15.76
596,588,Exeter City,English League Two,0.5,1.91,15.57
597,596,Brommapojkarna,Swedish Allsvenskan,0.67,2.24,15.39
598,594,Accrington Stanley,English League One,0.49,1.91,15.12
599,598,Toronto FC II,United Soccer League,0.88,2.66,14.88
600,599,St Mirren,Scottish Premiership,0.59,2.14,14.75
601,601,Colorado Springs Switchbacks FC,United Soccer League,0.46,1.94,14.33
602,597,Walsall,English League One,0.59,2.18,14.32
603,604,AFC Wimbledon,English League One,0.41,1.86,13.98
604,606,Tranmere Rovers,English League Two,0.59,2.24,13.85
605,602,Penn FC,United Soccer League,0.48,2.01,13.79
606,614,Colchester United,English League Two,0.43,2.03,12.61
607,607,Rochdale,English League One,0.64,2.49,12.45
608,608,Dundee,Scottish Premiership,0.49,2.21,12.1
609,609,Trelleborgs FF,Swedish Allsvenskan,0.57,2.41,11.9
610,611,Ottawa Fury FC,United Soccer League,0.26,1.74,11.67
611,605,Cheltenham Town,English League Two,0.55,2.42,11.42
612,612,Hamilton Academical,Scottish Premiership,0.47,2.33,10.75
613,613,Seattle Sounders 2,United Soccer League,0.56,2.57,10.43
614,616,Stevenage,English League Two,0.38,2.19,10.17
615,610,Grimsby Town,English League Two,0.32,2.12,9.77
616,615,Atlanta United 2,United Soccer League,0.5,2.53,9.74
617,619,Crewe Alexandra,English League Two,0.35,2.25,9.36
618,620,Swindon Town,English League Two,0.3,2.14,9.21
619,618,Newport County,English League Two,0.49,2.61,9.05
620,617,Crawley Town,English League Two,0.34,2.32,8.62
621,621,Tulsa Roughnecks,United Soccer League,0.52,2.86,7.87
622,624,Yeovil Town,English League Two,0.21,2.19,7.21
623,623,Morecambe,English League Two,0.2,2.22,6.84
624,625,Macclesfield,English League Two,0.2,2.25,6.71
625,622,Port Vale,English League Two,0.2,2.33,6.23
626,627,Cambridge United,English League Two,0.2,2.39,5.93
627,628,Richmond Kickers,United Soccer League,0.32,2.9,5.15
628,626,Notts County,English League Two,0.27,2.76,5.15
